apec1.kT apec1.Abundanc apec1.norm
1.624413816832616320e+00 9.746537702284951976e-02 1.766913468725622716e+00
1.590593584415515904e+00 2.406777899924951725e-01 1.500345903493425670e+00
1.266801036467111841e+00 6.467071637046777066e-02 2.345414878108435186e+00
1.677880322300933313e+00 2.350635176280808647e-01 1.725076966106025012e+00
1.614947700958347054e+00 6.242985835969089292e-01 9.253879469136605529e-01
1.226800550850113636e+00 5.567888873552395701e-02 2.337009685190345465e+00
1.535540148532424709e+00 4.509220829390082202e-02 1.992200118800484976e+00
1.433751515918520569e+00 2.470518082972621432e-01 1.753558445374194141e+00
1.264398810272638451e+00 5.152357624136336134e-02 2.852877846870215173e+00
1.264858172206565712e+00 1.572243432576811428e-01 1.897557159740841159e+00
1.421057386006221224e+00 2.094733273429272569e-01 1.794504075596009551e+00
1.264235916049729624e+00 1.103379581402032933e-01 1.769875868252263951e+00
1.650387315875903260e+00 1.614633794666109623e-01 1.603408603306413660e+00
1.317220435456540883e+00 1.278435326468895239e-01 2.098673039807571694e+00
1.552907904196020317e+00 8.584497758747361429e-01 8.881686103829378176e-01
1.836365331208655860e+00 2.241258996012244764e-01 1.492733531819046444e+00
1.357173079237901092e+00 1.832959693952559699e-01 1.643866608156719922e+00
1.487960772450505731e+00 2.506989082932947199e-01 1.510643243246507339e+00
2.856931974366620164e+00 3.276766011609262730e+00 5.043846847483909324e-01
2.363530876825175930e+00 4.019243646996545349e-01 1.450412099559295953e+00
1.521214755434561416e+00 4.909677135470789933e-02 2.087052267386744209e+00
1.492128066493012550e+00 2.782978952042521881e-01 1.316089085192302610e+00
1.442464917302670901e+00 2.057914325329576188e-01 1.862109375960796953e+00
1.686833696841328445e+00 2.185487723726412257e-01 1.803939911185447720e+00
1.665896964207747688e+00 1.303180851397049977e-01 1.712062493673763841e+00
1.650188221426962087e+00 3.330803739365592597e-01 1.455897949233756483e+00
1.660058439594469526e+00 4.316583394439388877e-01 1.384190343951464897e+00
1.824091718343141988e+00 1.652757200387603431e-01 1.611275827063122001e+00
1.170787913002366620e+00 7.630884543967497713e-02 2.183276070924989654e+00
1.450054563533708984e+00 8.890645481411318940e-02 1.900813126814043796e+00
1.435530080661080676e+00 1.460893212370868721e-01 1.764113639579818038e+00
1.426508909613698695e+00 7.718077677001250470e-03 2.432120181383306878e+00
1.720127894980225891e+00 3.596350958563475642e-01 1.320241581635956951e+00
1.408405341925440535e+00 2.781806705630728710e-02 2.296784998110115161e+00
