weight logl apec1.kT apec1.Abundanc apec1.norm
0.000000000000000000e+00 -1.184955292418817589e+04 4.402078960025457288e-01 6.590740369986980429e-01 9.553773585755727105e-01
0.000000000000000000e+00 -1.171437597332825317e+04 4.760093823450011197e-01 9.504784407629295329e-01 8.537544683945295088e-01
0.000000000000000000e+00 -1.161454554966215619e+04 3.353895552192228680e-01 9.619401250972682282e-01 7.798107372742263399e-01
0.000000000000000000e+00 -1.160253459573397959e+04 6.748850106481379951e-01 9.534077087897625535e-01 9.206599287671475285e-01
0.000000000000000000e+00 -1.159584008568067293e+04 1.849021518824198740e-01 4.282748893808997481e-01 8.941046668657725016e-01
0.000000000000000000e+00 -1.149522985755506488e+04 7.755785275807269841e-02 4.192265832327241037e-01 7.954969196839765111e-01
0.000000000000000000e+00 -1.138973339958754696e+04 8.560591787532392249e-01 8.674266424894198080e-01 9.905824163369081337e-01
0.000000000000000000e+00 -1.124276947035159901e+04 2.813997270604781109e-01 5.968846694646207096e-01 8.551980237017984265e-01
0.000000000000000000e+00 -1.116543228053176790e+04 5.074040176478735731e-01 8.253490007794306305e-01 8.685481894202126130e-01
0.000000000000000000e+00 -1.110420153256567210e+04 2.992119978814626879e-01 6.981309790978841301e-01 8.146806388190942494e-01
0.000000000000000000e+00 -1.104374582769053450e+04 8.644776008062604600e-02 1.678817117507507284e-01 9.898843644114280194e-01
0.000000000000000000e+00 -1.100141502648433561e+04 1.431682836292617056e-01 7.411835779119507750e-01 6.758739112965926887e-01
0.000000000000000000e+00 -1.093160381982002764e+04 2.803015775755528516e-01 8.056134928125257000e-01 7.551249469052279117e-01
0.000000000000000000e+00 -1.091585210616926270e+04 4.922877603225851439e-01 8.444250036250181557e-01 8.372436547454130684e-01
0.000000000000000000e+00 -1.090999225052925613e+04 3.333820252077707158e-01 8.173718996788624791e-01 7.776472175522345376e-01
0.000000000000000000e+00 -1.088016959247224986e+04 4.731563311872606370e-01 5.507098629255090527e-01 9.360300906754726036e-01
0.000000000000000000e+00 -1.080895807056643935e+04 4.171066761467778772e-01 9.549597301389882720e-01 7.654997721664719146e-01
0.000000000000000000e+00 -1.076249771140936718e+04 9.480384561449259895e-01 8.674811789395304729e-01 9.617118766114993722e-01
0.000000000000000000e+00 -1.074471284338331134e+04 1.347352073846127540e-01 8.786576534555577966e-01 6.062720443836984163e-01
0.000000000000000000e+00 -1.062449518674361389e+04 1.018232746932414834e-01 1.476776382474043192e-01 9.695443825664807891e-01
0.000000000000000000e+00 -1.059892550180979924e+04 3.657036642179721797e-01 7.905338747324425208e-01 7.791137422937769452e-01
0.000000000000000000e+00 -1.059005175773382325e+04 2.466899631667309745e-01 4.602551103615862838e-01 8.462306945988519180e-01
0.000000000000000000e+00 -1.058796357418843581e+04 1.423487051010884352e-01 9.164913672042035442e-01 5.932212287981631915e-01
0.000000000000000000e+00 -1.058476524204533234e+04 5.385195344354742897e-02 3.230947247500429720e-01 7.829719833042343424e-01
0.000000000000000000e+00 -1.057455653017262739e+04 1.317218828021491372e-01 1.441133577173682179e-01 9.664212241839426065e-01
0.000000000000000000e+00 -1.050244786839497465e+04 1.245561278985168885e-01 3.253406483751682954e-01 8.269599028869939472e-01
0.000000000000000000e+00 -1.047793466077984340e+04 2.470000697445080551e-01 9.764345826853305654e-01 6.551511038993933500e-01
0.000000000000000000e+00 -1.046143195207823010e+04 7.921846389150766221e-01 9.404156033029047457e-01 8.696420282604176988e-01
0.000000000000000000e+00 -1.034210466429287226e+04 1.140824636167958595e-01 2.902507556360856000e-01 8.321885698086223249e-01
0.000000000000000000e+00 -1.031237722308663251e+04 6.108860814240822945e-01 7.168037236648924226e-01 8.764717620661284236e-01
0.000000000000000000e+00 -1.014500803642383653e+04 4.461498854759811117e-01 3.017743071879060990e-01 9.742622625697445748e-01
0.000000000000000000e+00 -1.011589131903304042e+04 6.806498551680915110e-01 9.730237624294019172e-01 8.018837864782895064e-01
0.000000000000000000e+00 -1.006183634069467189e+04 3.767812761688390522e-01 9.667298982381731243e-01 6.941221595315131276e-01
0.000000000000000000e+00 -1.002457242121564195e+04 6.703980653653640598e-02 2.230557127979151399e-01 8.512205218343121826e-01
0.000000000000000000e+00 -1.000179632355319518e+04 4.183516549632211312e-01 3.082335503539987975e-01 9.469195123794563740e-01
0.000000000000000000e+00 -9.917098276095652182e+03 8.106303137781118995e-01 6.685973059730594414e-01 9.214572980906117206e-01
0.000000000000000000e+00 -9.892847576444108199e+03 2.874664149158235871e-01 5.693641724107778579e-01 7.686090350187499975e-01
0.000000000000000000e+00 -9.860121437451349266e+03 7.635406471542142137e-01 4.342137899496629760e-01 9.966315086712838056e-01
0.000000000000000000e+00 -9.849391015734534449e+03 5.865304642400447355e-01 3.871545934134166256e-01 9.588742996502829241e-01
0.000000000000000000e+00 -9.839907656296361893e+03 1.758951750788045887e-01 2.074633531527785291e-01 8.730732445921163265e-01
0.000000000000000000e+00 -9.800830979324968212e+03 4.183464284770694874e-01 5.008910259660841469e-01 8.448326965018945200e-01
0.000000000000000000e+00 -9.749175504577455285e+03 3.304020293325814484e-01 6.901584484098384209e-01 7.356817922873837290e-01
0.000000000000000000e+00 -9.729460242644996470e+03 8.485761658840506039e-01 8.772687527621351178e-01 8.455435084924433076e-01
0.000000000000000000e+00 -9.707227312171486119e+03 4.953644482108712221e-01 8.870600902447230984e-01 7.360960193044423505e-01
0.000000000000000000e+00 -9.608877775508803097e+03 3.860225695405776758e-01 8.446156189031349681e-01 7.008441579418871470e-01
0.000000000000000000e+00 -9.597347186032118771e+03 3.209508777500716947e-01 5.803760708516061406e-01 7.576933747692413679e-01
0.000000000000000000e+00 -9.432017828183898018e+03 4.281100080432307387e-01 1.408420046383372926e-01 9.827560567862669849e-01
0.000000000000000000e+00 -9.401173143765969144e+03 1.637251073305729943e-01 7.488351143392656395e-01 5.951539330562399810e-01
0.000000000000000000e+00 -9.385746917910848424e+03 6.139236046650112799e-01 3.222795220254653925e-01 9.530712555000198094e-01
0.000000000000000000e+00 -9.374584478870556268e+03 7.630447636924588828e-01 9.635512407284433367e-01 7.680852560258780715e-01
0.000000000000000000e+00 -9.362264999260567492e+03 2.087804424434036576e-02 4.171613491579581057e-01 3.277662821556351913e-01
0.000000000000000000e+00 -9.356168419455098046e+03 1.093545208058852580e-01 1.753717888089215693e-01 8.339047136300270502e-01
0.000000000000000000e+00 -9.344981079602410318e+03 7.623058356363613397e-01 4.074333831292090702e-01 9.573196864231976466e-01
0.000000000000000000e+00 -9.340125816546160422e+03 1.037127525961455410e-01 2.992788856265978792e-01 7.439159527722729592e-01
0.000000000000000000e+00 -9.272665546208889282e+03 7.513116103127359668e-01 6.206306478582379604e-01 8.638931699650328477e-01
0.000000000000000000e+00 -9.246372158844809746e+03 3.999707240401902952e-01 6.763677989444251137e-01 7.306669532871914452e-01
0.000000000000000000e+00 -9.219103044152660004e+03 6.081658157122861175e-01 5.324907133711661578e-01 8.489412405734769740e-01
0.000000000000000000e+00 -9.171983939132027444e+03 2.411609714152267436e-01 8.342379676607658556e-01 6.098229508464081405e-01
0.000000000000000000e+00 -9.170861946348659330e+03 4.992313324719300782e-01 9.526066647190059022e-01 6.808041840780963971e-01
0.000000000000000000e+00 -9.132777136569409777e+03 4.352965499397558613e-01 7.929190086519911640e-01 7.003147775070887038e-01
0.000000000000000000e+00 -9.131688085145826335e+03 6.141563479264523506e-01 5.728997778159591325e-01 8.284417146376182872e-01
0.000000000000000000e+00 -9.118754301176230001e+03 4.431869593513878547e-01 4.667362878934826487e-01 8.096469966292669795e-01
0.000000000000000000e+00 -9.108012310837926634e+03 6.930345549519111303e-01 3.499114547591304358e-01 9.390022900497012603e-01
0.000000000000000000e+00 -9.091742969982326031e+03 4.111380520565923735e-01 1.461954349538032716e-01 9.393128789196637518e-01
0.000000000000000000e+00 -9.090720631379688712e+03 6.558400693778968504e-01 2.832263598547952732e-01 9.557919161441947864e-01
0.000000000000000000e+00 -9.073742389786450076e+03 9.468244047300418131e-01 4.215096884094919893e-01 9.748091663052341760e-01
0.000000000000000000e+00 -8.959191442623037801e+03 7.295874289379735700e-01 4.816357449621807563e-01 8.804631718273229213e-01
0.000000000000000000e+00 -8.952907499662806003e+03 5.866110693084727323e-01 1.906201943051110126e-01 9.632401506520857914e-01
0.000000000000000000e+00 -8.934576159844047652e+03 5.603843344461325593e-01 7.373316362011704816e-01 7.421362638389090716e-01
0.000000000000000000e+00 -8.924719430390061461e+03 1.627147206210984853e-01 1.223475741022628238e-01 8.404229217690103448e-01
0.000000000000000000e+00 -8.891847493338127606e+03 4.430916087442327012e-02 3.330512519557118356e-01 6.319162170852440363e-01
0.000000000000000000e+00 -8.869978928316340898e+03 9.925404022002178861e-01 5.563552577813619671e-01 9.116482093552843446e-01
0.000000000000000000e+00 -8.851410594517581558e+03 3.626560863161867321e-01 2.537671938683120354e-01 8.450807374642163028e-01
0.000000000000000000e+00 -8.743197049633427014e+03 2.203657808768935134e-01 1.382212399433770944e-01 8.429978832163607105e-01
0.000000000000000000e+00 -8.728144672319982419e+03 9.413306129954620571e-01 3.787656954538769494e-01 9.555421840998885585e-01
0.000000000000000000e+00 -8.714848199660782484e+03 1.998979596161066796e-01 8.182101655334760304e-01 5.609099822840949434e-01
0.000000000000000000e+00 -8.617706415361330073e+03 8.113620516603258226e-01 9.500630487396990453e-01 7.232375947002490646e-01
0.000000000000000000e+00 -8.592012626871850443e+03 1.616382676641836547e-01 6.923530726540716440e-01 5.606680081166004470e-01
0.000000000000000000e+00 -8.583046454816972982e+03 3.881451082954719967e-01 6.980451309957729222e-01 6.693445112348336279e-01
0.000000000000000000e+00 -8.572494716380773752e+03 9.121005188907048700e-01 6.949026201626263832e-01 8.160641187635123694e-01
0.000000000000000000e+00 -8.566208317181175516e+03 3.945693493826257781e-01 3.379540574914063900e-01 7.943261226057676261e-01
0.000000000000000000e+00 -8.548588646738988245e+03 7.941599190232105920e-01 7.711373499768769957e-01 7.627278184664276761e-01
0.000000000000000000e+00 -8.482183078446632862e+03 6.511537779544553928e-01 4.422079436492828419e-01 8.285767033058788478e-01
0.000000000000000000e+00 -8.452675616764750885e+03 2.726899950794053895e-01 2.323819895343103292e-01 7.856758043895332166e-01
0.000000000000000000e+00 -8.431329030129307284e+03 6.384699746448672109e-01 7.060872575228283043e-01 7.325517405549795136e-01
0.000000000000000000e+00 -8.426294724868270350e+03 4.135965316654536261e-01 1.161646450360473981e-01 8.888398564221425824e-01
0.000000000000000000e+00 -8.390346519972083115e+03 3.728099642178470674e-01 2.079772602345159038e-01 8.267005779603148197e-01
0.000000000000000000e+00 -8.372705714526684460e+03 2.065629633393456510e-01 7.200738341911676610e-01 5.711251966271025937e-01
0.000000000000000000e+00 -8.371083585149264763e+03 1.539330627088301151e-01 5.237714610879662391e-02 8.357482544442282890e-01
0.000000000000000000e+00 -8.365328360521525610e+03 9.802591488068445047e-01 7.648142561158545183e-01 7.905021622470519427e-01
0.000000000000000000e+00 -8.359571690872517138e+03 5.428772694625518813e-01 5.457881115459193300e-01 7.497058212271149324e-01
0.000000000000000000e+00 -8.330834679147308634e+03 1.417277872706816932e-01 2.031611411080697094e-01 7.335811319614921056e-01
0.000000000000000000e+00 -8.300333414669212289e+03 3.199694538173576408e-01 4.179967678663398800e-02 8.849266340710031375e-01
0.000000000000000000e+00 -8.292413170973146407e+03 3.883973683583502590e-01 3.558340609962120649e-01 7.606787201776745722e-01
0.000000000000000000e+00 -8.281506659307233349e+03 5.091011047013900281e-01 7.543897844697479149e-01 6.700748717700802937e-01
0.000000000000000000e+00 -8.209212453362652013e+03 6.634261833094396987e-01 1.400023960246460364e-01 9.333579226475654522e-01
0.000000000000000000e+00 -8.040174101977902865e+03 8.577537004546271771e-01 2.278651447701912636e-01 9.267263807256529429e-01
0.000000000000000000e+00 -8.028767775304797397e+03 3.553457974630082061e-01 4.949203429446076274e-01 6.773432293572118068e-01
0.000000000000000000e+00 -8.010761969405409218e+03 8.080807924557310562e-01 4.511353231757385673e-01 8.208904592511434561e-01
0.000000000000000000e+00 -8.009540266399629218e+03 6.110684496229324969e-01 1.528056124281319539e-01 8.896943996551121003e-01
0.000000000000000000e+00 -7.997204177255355717e+03 4.971746267101984085e-01 6.321587425342112265e-01 6.781462213740757639e-01
0.000000000000000000e+00 -7.986848298249319669e+03 8.265954809676265835e-01 9.836657105091218822e-01 6.675930327823982324e-01
