logz logzerr logvol nlive logl logwt insert_order
-1.046755966629668001e+04 3.091019133114210504e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -1.034210466429287226e+04 -1.034823487857956388e+04 6.700000000000000400e-01
-1.034823487857956388e+04 7.775082486118367342e+01 -1.400000000000000688e-01 4.000000000000000000e+02 -1.031237722308663251e+04 -1.031850993737332465e+04 3.500000000000000333e-02
-1.031850993737332465e+04 1.263520080479203678e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -1.014500803642383653e+04 -1.015114325071052735e+04 3.750000000000000000e-01
-1.015114325071052735e+04 7.354419093975698729e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -1.011589131903304042e+04 -1.012202903331973175e+04 1.050000000000000044e+00
-1.012202903331973175e+04 8.024590175024689742e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -1.006183634069467189e+04 -1.006797655498136373e+04 1.669999999999999929e+00
-1.006797655498136373e+04 2.638924781478765524e+01 -1.500000000000000777e-01 4.000000000000000000e+02 -1.002457242121564195e+04 -1.003071513550233249e+04 8.149999999999999467e-01
-1.003071513550233249e+04 1.578170965917512980e+01 -1.525000000000000799e-01 4.000000000000000000e+02 -1.000179632355319518e+04 -1.000794153783988622e+04 3.800000000000000044e-01
-1.000794153783975707e+04 1.801666424365100028e+01 -1.550000000000000822e-01 4.000000000000000000e+02 -9.917098276095652182e+03 -9.923245990382343734e+03 9.150000000000000355e-01
-9.923245990382343734e+03 3.652552992629538409e+01 -1.575000000000000844e-01 4.000000000000000000e+02 -9.892847576444108199e+03 -9.898997790730800261e+03 1.909999999999999920e+00
-9.898997790730771158e+03 4.455869829194083565e+01 -1.600000000000000866e-01 4.000000000000000000e+02 -9.860121437451349266e+03 -9.866274151738040018e+03 7.249999999999999778e-01
-9.866274151738040018e+03 5.212957712136665123e+01 -1.625000000000000888e-01 4.000000000000000000e+02 -9.849391015734534449e+03 -9.855546230021225711e+03 8.050000000000000488e-01
-9.855546208097313865e+03 4.175318470481991007e+00 -1.650000000000000910e-01 4.000000000000000000e+02 -9.839907656296361893e+03 -9.846065370583053664e+03 1.540000000000000036e+00
-9.846065294285956043e+03 4.902914204154766864e+00 -1.675000000000000933e-01 4.000000000000000000e+02 -9.800830979324968212e+03 -9.806991193611658673e+03 8.499999999999999778e-01
-9.806991193611658673e+03 2.406380876065141550e+01 -1.700000000000000955e-01 4.000000000000000000e+02 -9.749175504577455285e+03 -9.755338218864146256e+03 1.879999999999999893e+00
-9.755338218864146256e+03 4.345391111782301152e+01 -1.725000000000000977e-01 4.000000000000000000e+02 -9.729460242644996470e+03 -9.735625456931687950e+03 7.800000000000000266e-01
-9.735625456928941276e+03 4.611792097381200506e+01 -1.750000000000000999e-01 4.000000000000000000e+02 -9.707227312171486119e+03 -9.713395026458178108e+03 3.649999999999999911e-01
-9.713395026457956192e+03 5.354184939715385383e+01 -1.775000000000001021e-01 4.000000000000000000e+02 -9.608877775508803097e+03 -9.615047989795493777e+03 4.149999999999999800e-01
-9.615047989795493777e+03 6.771133230176481277e+01 -1.800000000000001044e-01 4.000000000000000000e+02 -9.597347186032118771e+03 -9.603519900318809960e+03 5.649999999999999467e-01
-9.603519890469355232e+03 6.928658837831676465e+01 -1.825000000000001066e-01 4.000000000000000000e+02 -9.432017828183898018e+03 -9.438193042470589717e+03 8.050000000000000488e-01
-9.438193042470589717e+03 1.219327407763593385e+02 -1.850000000000001088e-01 4.000000000000000000e+02 -9.401173143765969144e+03 -9.407350858052661351e+03 1.294999999999999929e+00
-9.407350858052661351e+03 1.253989865848352991e+02 -1.875000000000001110e-01 4.000000000000000000e+02 -9.385746917910848424e+03 -9.391927132197539322e+03 1.735000000000000098e+00
-9.391927131997294055e+03 5.997565415804054112e+01 -1.900000000000001132e-01 4.000000000000000000e+02 -9.374584478870556268e+03 -9.380767193157247675e+03 1.939999999999999947e+00
-9.380767178924228574e+03 1.122014586307319206e+01 -1.925000000000001155e-01 4.000000000000000000e+02 -9.362264999260567492e+03 -9.368450213547259409e+03 1.000000000000000000e+00
-9.368450209072096186e+03 1.196002631280262207e+01 -1.950000000000001177e-01 4.000000000000000000e+02 -9.356168419455098046e+03 -9.362356133741788653e+03 1.919999999999999929e+00
-9.362353880087763173e+03 5.685750202572730672e+00 -1.975000000000001199e-01 4.000000000000000000e+02 -9.344981079602410318e+03 -9.351171293889101435e+03 9.799999999999999822e-01
-9.351171279974796562e+03 9.918790367283170539e+00 -2.000000000000001221e-01 4.000000000000000000e+02 -9.340125816546160422e+03 -9.346318530832852048e+03 1.554999999999999938e+00
-9.346310754263120543e+03 5.993232706856387537e+00 -2.025000000000001243e-01 4.000000000000000000e+02 -9.272665546208889282e+03 -9.278860760495581417e+03 6.400000000000000133e-01
-9.278860760495581417e+03 3.283201716735362652e+01 -2.050000000000001266e-01 4.000000000000000000e+02 -9.246372158844809746e+03 -9.252569873131500572e+03 1.639999999999999902e+00
-9.252569873131496934e+03 2.682093496196521443e+01 -2.075000000000001288e-01 4.000000000000000000e+02 -9.219103044152660004e+03 -9.225303258439351339e+03 4.600000000000000200e-01
-9.225303258439349520e+03 3.699201726522291267e+01 -2.100000000000001310e-01 4.000000000000000000e+02 -9.171983939132027444e+03 -9.178186653418719288e+03 4.099999999999999756e-01
-9.178186653418719288e+03 3.781569288144003593e+01 -2.125000000000001332e-01 4.000000000000000000e+02 -9.170861946348659330e+03 -9.177067160635349865e+03 1.699999999999999956e+00
-9.176784657954465729e+03 2.776561699164378538e+01 -2.150000000000001354e-01 4.000000000000000000e+02 -9.132777136569409777e+03 -9.138984850856100820e+03 1.350000000000000089e-01
-9.138984850856100820e+03 3.887096982774932030e+01 -2.175000000000001377e-01 4.000000000000000000e+02 -9.131688085145826335e+03 -9.137898299432517888e+03 9.499999999999999556e-01
-9.137607588479109836e+03 1.458099608635350997e+01 -2.200000000000001399e-01 4.000000000000000000e+02 -9.118754301176230001e+03 -9.124967015462922063e+03 1.354999999999999982e+00
-9.124967012224986320e+03 1.480336905756376709e+01 -2.225000000000001421e-01 4.000000000000000000e+02 -9.108012310837926634e+03 -9.114227525124617387e+03 1.544999999999999929e+00
-9.114227503452801102e+03 1.025213498162442072e+01 -2.250000000000001443e-01 4.000000000000000000e+02 -9.091742969982326031e+03 -9.097960684269017293e+03 3.499999999999999778e-01
-9.097960684182837213e+03 1.332490406821057327e+01 -2.275000000000001465e-01 4.000000000000000000e+02 -9.090720631379688712e+03 -9.096940845666380483e+03 1.000000000000000000e+00
-9.096632880806175308e+03 5.140659257575451058e+00 -2.300000000000001488e-01 4.000000000000000000e+02 -9.073742389786450076e+03 -9.079965104073140537e+03 7.000000000000000666e-02
-9.079965104015427642e+03 7.611147300147692363e+00 -2.325000000000001510e-01 4.000000000000000000e+02 -8.959191442623037801e+03 -8.965416656909728772e+03 5.400000000000000355e-01
-8.965416656909728772e+03 5.805607460154671173e+01 -2.350000000000001532e-01 4.000000000000000000e+02 -8.952907499662806003e+03 -8.959135213949497484e+03 1.804999999999999938e+00
-8.959133344997775566e+03 5.361977592955852856e+01 -2.375000000000001554e-01 4.000000000000000000e+02 -8.934576159844047652e+03 -8.940806374130739641e+03 2.550000000000000044e-01
-8.940806374119756583e+03 1.082415985579312689e+01 -2.400000000000001577e-01 4.000000000000000000e+02 -8.924719430390061461e+03 -8.930952144676752141e+03 1.250000000000000000e+00
