weight logl apec1.kT apec1.Abundanc apec1.norm
0.000000000000000000e+00 -1.159584008568067293e+04 1.184025850325981111e+01 2.141374446904498630e+00 9.835151335523497096e+01
0.000000000000000000e+00 -1.149522985755506488e+04 4.971082113694587967e+00 2.096132916163620408e+00 8.750466116523742244e+01
0.000000000000000000e+00 -1.138973339958754696e+04 5.478893896677728748e+01 4.337133212447098707e+00 1.089640657970598880e+02
0.000000000000000000e+00 -1.124276947035159901e+04 1.801533133405411391e+01 2.984423347323103659e+00 9.407178260719783225e+01
0.000000000000000000e+00 -1.116543228053176790e+04 3.247779789732272349e+01 4.126745003897153374e+00 9.554030083622338054e+01
0.000000000000000000e+00 -1.110420153256567210e+04 1.915517416843055898e+01 3.490654895489420539e+00 8.961487027010036854e+01
0.000000000000000000e+00 -1.104374582769053450e+04 5.539965063079421270e+00 8.394085587537536419e-01 1.088872800852570890e+02
0.000000000000000000e+00 -1.100141502648433561e+04 9.169624806003714212e+00 3.705917889559753764e+00 7.434613024262519332e+01
0.000000000000000000e+00 -1.093160381982002764e+04 1.794505855221477475e+01 4.028067464062628389e+00 8.306374415957506585e+01
0.000000000000000000e+00 -1.091585210616926270e+04 3.151047835856286738e+01 4.222125018125090889e+00 9.209680202199544397e+01
0.000000000000000000e+00 -1.090999225052925613e+04 2.134178255709566230e+01 4.086859498394312062e+00 8.554119393074580557e+01
0.000000000000000000e+00 -1.088016959247224986e+04 3.028621994533517991e+01 2.753549314627545375e+00 1.029633099743019926e+02
0.000000000000000000e+00 -1.080895807056643935e+04 2.669949041998460615e+01 4.774798650694941138e+00 8.420497493831190639e+01
0.000000000000000000e+00 -1.076249771140936718e+04 6.067487688562610515e+01 4.337405894697652364e+00 1.057883064272649278e+02
0.000000000000000000e+00 -1.074471284338331134e+04 8.629975390956138526e+00 4.393288267277789316e+00 6.668992488220682446e+01
0.000000000000000000e+00 -1.062449518674361389e+04 6.523874994169908348e+00 7.383881912370215961e-01 1.066498820823128852e+02
0.000000000000000000e+00 -1.059892550180979924e+04 2.341010888063647499e+01 3.952669373662212493e+00 8.570251165231546508e+01
0.000000000000000000e+00 -1.059005175773382325e+04 1.579418412296544716e+01 2.301275551807931308e+00 9.308537640587371698e+01
0.000000000000000000e+00 -1.058796357418843581e+04 9.117178336828850149e+00 4.582456836021017388e+00 6.525433516779794729e+01
0.000000000000000000e+00 -1.058476524204533234e+04 3.454094204759487141e+00 1.615473623750214749e+00 8.612691816346577411e+01
0.000000000000000000e+00 -1.057455653017262739e+04 8.437146724275127241e+00 7.205667885868410893e-01 1.063063346602336878e+02
0.000000000000000000e+00 -1.050244786839497465e+04 7.978595736481892686e+00 1.626703241875841588e+00 9.096558931756933930e+01
