16:01:18 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs_basic/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:01:18 [ultranest] [INFO] Sampling 400 live points from prior ...
16:01:20 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
16:01:20 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:01:20 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
16:01:23 [ultranest] [DEBUG] iteration=551, ncalls=1171, logz=-3057.95, remainder_fraction=100.0000%, Lmin=-3049.23, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=560, ncalls=1183, logz=-2992.46, remainder_fraction=100.0000%, Lmin=-2972.02, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=573, ncalls=1207, logz=-2881.52, remainder_fraction=100.0000%, Lmin=-2846.72, Lmax=-147.54
16:01:24 [ultranest] [DEBUG] iteration=586, ncalls=1227, logz=-2787.54, remainder_fraction=100.0000%, Lmin=-2778.65, Lmax=-147.54
16:01:24 [ultranest] [DEBUG] iteration=599, ncalls=1255, logz=-2702.46, remainder_fraction=100.0000%, Lmin=-2687.52, Lmax=-147.54
16:01:24 [ultranest] [DEBUG] iteration=600, ncalls=1257, logz=-2695.01, remainder_fraction=100.0000%, Lmin=-2674.10, Lmax=-147.54
16:01:24 [ultranest] [DEBUG] iteration=611, ncalls=1281, logz=-2593.97, remainder_fraction=100.0000%, Lmin=-2579.43, Lmax=-147.54
16:01:24 [ultranest] [DEBUG] iteration=624, ncalls=1312, logz=-2514.58, remainder_fraction=100.0000%, Lmin=-2505.11, Lmax=-147.54
16:01:24 [ultranest] [DEBUG] iteration=634, ncalls=1334, logz=-2451.36, remainder_fraction=100.0000%, Lmin=-2430.45, Lmax=-147.54
16:01:24 [ultranest] [DEBUG] iteration=640, ncalls=1347, logz=-2395.74, remainder_fraction=100.0000%, Lmin=-2384.51, Lmax=-147.54
16:01:24 [ultranest] [DEBUG] iteration=655, ncalls=1376, logz=-2322.89, remainder_fraction=100.0000%, Lmin=-2301.86, Lmax=-147.54
16:01:24 [ultranest] [DEBUG] iteration=669, ncalls=1408, logz=-2236.38, remainder_fraction=100.0000%, Lmin=-2207.16, Lmax=-147.54
