weight logl apec1.kT apec1.Abundanc apec1.norm
1.492010727801640829e-141 -3.300044001273355434e+02 3.834326743212206345e+00 2.637190551734822086e-01 9.814989667280766383e+00
2.730115433592392933e-141 -3.293976809276367135e+02 4.074452955300213119e+00 2.513419153049227805e-01 9.777310458428322804e+00
2.761509599190052168e-141 -3.293837473328755436e+02 4.117578941383089663e+00 1.844742877615105914e-01 9.978139006678190981e+00
4.663480151436854468e-141 -3.288572628362827572e+02 3.959586295862260741e+00 2.373918985903032408e-01 9.850799596082982390e+00
9.946187601303603998e-140 -3.257947504042130618e+02 4.456805105554461299e+00 2.102869816135437275e-01 9.752077265818027030e+00
4.507149207633912864e-139 -3.242811897844040914e+02 4.111014230175705997e+00 1.760561186850930770e-01 9.936326406824280255e+00
4.813801807816904354e-139 -3.242128674647644857e+02 4.219384289899507756e+00 2.057168101978649188e-01 9.801341096150190779e+00
4.136804680387760939e-138 -3.220593458668225253e+02 4.040409112279879977e+00 1.690272230842046752e-01 9.955442733869810823e+00
7.671552631077352953e-138 -3.214392505163471583e+02 4.296678430382610436e+00 2.679686633022380082e-01 9.552630697907257940e+00
3.634472566834111716e-137 -3.198812204454055745e+02 4.033269361989912483e+00 2.329811996260419127e-01 9.717045089367200461e+00
6.645880436295951123e-136 -3.169726021748916764e+02 4.148907631270873253e+00 2.985747381134091771e-01 9.441141505604759843e+00
9.608870044999549982e-136 -3.166014127194331422e+02 4.146579901644928512e+00 2.062940340255957072e-01 9.717952608803098968e+00
1.729079212594728913e-135 -3.160114252415816622e+02 4.005365786716581944e+00 2.557442529238935225e-01 9.598336451556559012e+00
5.400531459112795590e-135 -3.148700168942608570e+02 3.994994559732235384e+00 2.481513506387026669e-01 9.609676095369971804e+00
4.196613509834886051e-134 -3.128171512754818195e+02 4.115354541938067712e+00 2.388288568305299564e-01 9.573534299991640850e+00
8.835535916329755852e-134 -3.120701474060882674e+02 4.088979907200676500e+00 2.348228000265509263e-01 9.583619977363907694e+00
1.040293277444442021e-132 -3.096017563114182281e+02 3.974890661757016552e+00 2.122873997697464488e-01 9.657481276263034431e+00
7.148071469964439864e-132 -3.076719163865171822e+02 4.005151577189758783e+00 2.692431929078155650e-01 9.438460967229678644e+00
1.225368902200791938e-131 -3.071304319460509191e+02 3.806965709502166728e+00 2.846597168089353702e-01 9.433388596507661816e+00
1.697682581820882991e-131 -3.068019097554532664e+02 4.315298651413024267e+00 2.669121000294519819e-01 9.347163737309291065e+00
2.386525561084307491e-131 -3.064588353212604375e+02 3.912982323378431548e+00 2.331748738578424407e-01 9.563705180182736854e+00
1.525521495824117203e-130 -3.046012524802946473e+02 4.152315297641680836e+00 1.944470039327803601e-01 9.580804319681201164e+00
2.797838244814973086e-128 -2.993870715468145818e+02 4.170550063071766012e+00 3.426292975102667726e-01 9.065981342215181371e+00
5.853499510615004411e-128 -2.986463789210521895e+02 4.271442650252188500e+00 2.001234140231828995e-01 9.435466630424066636e+00
3.725897030920196479e-127 -2.967930258808797817e+02 3.738931522757524384e+00 2.846344459862347742e-01 9.302970005168088363e+00
1.641494063088564087e-126 -2.953076415832031216e+02 4.295789463441315625e+00 2.934843943656555432e-01 9.116236516429259140e+00
1.069714069579480107e-125 -2.934307719433312514e+02 4.143596410278889586e+00 2.514570634922012049e-01 9.249579538322560524e+00
1.296533568850704367e-125 -2.932359691138389053e+02 4.097675465318234345e+00 1.993732211409361965e-01 9.418215900012425479e+00
4.774585142918421146e-125 -2.919298562423080057e+02 4.048735128841141950e+00 2.281921078383820634e-01 9.326162990290089994e+00
2.197629079371689330e-124 -2.904006991503651989e+02 4.095796244986110501e+00 1.457543015574049861e-01 9.544172582203380273e+00
2.475253663695823679e-124 -2.902792353572570505e+02 4.494375829199860561e+00 2.439948300296125860e-01 9.149569614946731377e+00
3.153348186205369956e-123 -2.877320283408163277e+02 4.542855186713365079e+00 2.329975675787356593e-01 9.134753668566998996e+00
9.078399565879251819e-123 -2.866720952276007210e+02 3.947423875696283613e+00 2.336904964827510311e-01 9.262376460775737286e+00
2.138509319069390158e-122 -2.858127990459848320e+02 4.069928619547876103e+00 2.257135324687720712e-01 9.236680787460374020e+00
8.857306104982084077e-121 -2.820865802923983665e+02 4.051165750680184807e+00 3.141804135740192683e-01 8.925622065197840627e+00
1.335131656615853014e-118 -2.770685377742662467e+02 3.709244970675197095e+00 2.571861444162026333e-01 9.110729947147463648e+00
1.543620583870215367e-118 -2.769209369948745803e+02 3.677102465780508478e+00 1.926995157586649798e-01 9.336924961522267807e+00
2.192482096401753059e-118 -2.765675334010501842e+02 4.082187485978783670e+00 1.811293073782051510e-01 9.228453870003944459e+00
2.613081427880172334e-118 -2.763895375317883918e+02 4.216603580551257835e+00 2.202801602620872434e-01 9.065581180680752027e+00
2.281878545159386975e-115 -2.696148133744182473e+02 3.957500379540743296e+00 2.688737255892945655e-01 8.895773280425840923e+00
2.290856947783062071e-115 -2.696083864408900013e+02 4.198714704398408770e+00 2.230469363508955638e-01 8.960347491479542015e+00
5.216310608418017955e-115 -2.687830220294503647e+02 3.849817655943109429e+00 2.244630741682006048e-01 9.049981739115523283e+00
6.566454766776619945e-115 -2.685503383239252457e+02 4.395704195171355799e+00 2.494739911056409465e-01 8.826410894398646789e+00
1.212699637706195761e-113 -2.656317932355427160e+02 4.146777484683234150e+00 2.148538405621560621e-01 8.938679875634834460e+00
1.346830232124436996e-113 -2.655243883600458616e+02 3.800776814363059142e+00 2.115848404863235888e-01 9.055700845668082977e+00
3.084741983980199168e-113 -2.646931741972766758e+02 4.208401479064752593e+00 2.181370566936750854e-01 8.895624884295035173e+00
3.244303853800230258e-112 -2.623376563242131851e+02 4.279954975635171799e+00 2.267322342889132869e-01 8.813720498172347817e+00
5.978270707238429614e-112 -2.617239257757289579e+02 4.014336362671839353e+00 2.779366557805628135e-01 8.734641520982203033e+00
7.134700683606946013e-112 -2.615445868228711674e+02 4.570572039063836023e+00 2.243731183352917491e-01 8.759944240359082812e+00
1.801561099882935422e-111 -2.606158184627386163e+02 3.848131741187231114e+00 2.140395647098019272e-01 8.955978148062277100e+00
1.724485468313689141e-110 -2.583544582097406419e+02 4.094456364794950787e+00 2.226255854730518624e-01 8.819219028569142083e+00
2.167132852204665055e-110 -2.581234819088460881e+02 3.940254706073586632e+00 1.698503115592162049e-01 9.024327313570353226e+00
3.305886312781912431e-110 -2.576986823258321238e+02 4.176627593306824870e+00 2.876304443963978441e-01 8.606404768858817889e+00
4.385074437912467828e-110 -2.574136803352326979e+02 4.052234734718326514e+00 3.217569694474513575e-01 8.537239955840343342e+00
2.451384433994189351e-109 -2.556901489034358974e+02 4.043791982412674457e+00 2.895722241722414880e-01 8.601804596596235086e+00
1.107108427538956302e-108 -2.541799651543836660e+02 3.990502427253379558e+00 2.039344191599184730e-01 8.840168573935722307e+00
6.493635447844076018e-108 -2.524083942151640088e+02 4.124330895645951678e+00 2.697479686911880559e-01 8.585949273383038260e+00
1.379470245521036747e-106 -2.493498470191041463e+02 3.918277262424791463e+00 2.120384967810359789e-01 8.760983713581406818e+00
1.120457266290853956e-105 -2.472527245960611424e+02 4.014436341624272764e+00 2.366756869981966049e-01 8.626535920946764691e+00
2.264470509183056707e-104 -2.442440354177008999e+02 4.030590066867787868e+00 2.567828898676072225e-01 8.517076683973265006e+00
7.328558346244084396e-103 -2.407645124675261741e+02 3.918306820799683177e+00 2.376958983555442495e-01 8.545844057925529924e+00
8.177190523003251112e-102 -2.383498575577647784e+02 4.220421640002408381e+00 1.945299044968850366e-01 8.537005635730842812e+00
3.160749474002772679e-100 -2.346927268317564312e+02 4.154940232931632060e+00 2.013599341716914015e-01 8.478947309499304197e+00
3.548384496705811240e-100 -2.345745435779905108e+02 4.214566521827952883e+00 2.570754914512382028e-01 8.312524542998886545e+00
3.344803566956569810e-99 -2.323285429460787839e+02 4.071899839498411389e+00 2.450397161906031074e-01 8.345332802221934188e+00
5.711630737954366886e-99 -2.317909463373260053e+02 4.108644002257378247e+00 2.686245136948561818e-01 8.263897974729312423e+00
2.843087587640597615e-98 -2.301834751801939092e+02 3.866050327738140169e+00 2.442481089971994535e-01 8.366984411031191726e+00
7.313694833355366813e-98 -2.292361172253381767e+02 3.867027032385645491e+00 2.057428642458470902e-01 8.463703311205051705e+00
