logz logzerr logvol nlive logl logwt insert_order
-3.687014090863392539e+02 1.908885765353361963e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -3.619880092595805081e+02 -3.680507235462717972e+02 4.000000000000000222e-01
-3.676309032906906396e+02 2.153744447448152410e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -3.611401297815434077e+02 -3.672053440682346945e+02 4.000000000000000083e-02
-3.667025077030186822e+02 7.652585275209098370e-01 -7.500000000000002498e-02 4.000000000000000000e+02 -3.541418101424683869e+02 -3.602095244291597282e+02 1.179999999999999938e+00
-3.602080115486295426e+02 3.164683176080521410e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -3.533949967996676946e+02 -3.594652110863590337e+02 1.695000000000000062e+00
-3.590760246632223698e+02 3.643676163145541214e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -3.513988032242963868e+02 -3.574715175109877237e+02 1.524999999999999911e+00
-3.572883724706157977e+02 3.494639609718995565e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -3.488696899309799733e+02 -3.549449042176713078e+02 1.280000000000000027e+00
-3.548532423865519263e+02 1.932237833826573770e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -3.470612011203927523e+02 -3.531389154070840846e+02 5.050000000000000044e-01
-3.529733290383467761e+02 1.828307720017233740e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -3.447214239711204868e+02 -3.508016382578118169e+02 1.834999999999999964e+00
-3.506936948231074211e+02 2.040230975270438396e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -3.406691938929735670e+02 -3.467519081796648948e+02 1.849999999999999978e-01
-3.467326807189788269e+02 3.126902400972813023e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -3.405505194497873731e+02 -3.466357337364786986e+02 4.000000000000000222e-01
-3.459898856672865008e+02 3.214289723516514652e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -3.397882751335929470e+02 -3.458759894202842702e+02 5.550000000000000488e-01
-3.452381696945518001e+02 1.619922274845579491e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -3.360295210217471435e+02 -3.421197353084384645e+02 1.020000000000000018e+00
-3.420764590267302196e+02 2.062597254706972194e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -3.359435543288987560e+02 -3.420362686155900747e+02 1.979999999999999982e+00
-3.413630147455443193e+02 1.614519488882468323e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -3.339185032188449327e+02 -3.400137175055362491e+02 1.685000000000000053e+00
-3.397830642163349921e+02 1.668671006226680742e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -3.325211889971758410e+02 -3.386189032838671551e+02 1.274999999999999911e+00
-3.383472099812470333e+02 1.226406442065396618e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -3.300044001273355434e+02 -3.361046144140268552e+02 1.649999999999999911e+00
-3.360036994771054424e+02 2.237709305839396645e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -3.293976809276367135e+02 -3.355003952143280230e+02 5.550000000000000488e-01
-3.350275644411701705e+02 1.785985031765707998e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -3.293837473328755436e+02 -3.354889616195668509e+02 1.239999999999999991e+00
-3.345387376804061432e+02 8.133193230944366636e-01 -1.150000000000000605e-01 4.000000000000000000e+02 -3.288572628362827572e+02 -3.349649771229740622e+02 5.550000000000000488e-01
-3.340361700742091102e+02 4.863984698726169786e-01 -1.175000000000000627e-01 4.000000000000000000e+02 -3.257947504042130618e+02 -3.319049646909043645e+02 1.534999999999999920e+00
-3.317928026361498155e+02 1.345627590570970478e+00 -1.200000000000000649e-01 4.000000000000000000e+02 -3.242811897844040914e+02 -3.303939040710953918e+02 1.429999999999999938e+00
-3.301732686833226467e+02 1.575138348105854513e+00 -1.225000000000000672e-01 4.000000000000000000e+02 -3.242128674647644857e+02 -3.303280817514557839e+02 1.084999999999999964e+00
-3.295545351380767443e+02 1.806296675950851638e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -3.220593458668225253e+02 -3.281770601535138212e+02 1.695000000000000062e+00
-3.279521464933986863e+02 1.652422367277514015e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -3.214392505163471583e+02 -3.275594648030384519e+02 5.500000000000000444e-01
-3.270435061856866241e+02 1.315014824444524111e+00 -1.300000000000000600e-01 4.000000000000000000e+02 -3.198812204454055745e+02 -3.260039347320968659e+02 5.500000000000000444e-01
-3.257011624520876012e+02 9.384125425700970968e-01 -1.325000000000000622e-01 4.000000000000000000e+02 -3.169726021748916764e+02 -3.230978164615829655e+02 1.635000000000000009e+00
-3.230264027461927299e+02 1.722588861095011081e+00 -1.350000000000000644e-01 4.000000000000000000e+02 -3.166014127194331422e+02 -3.227291270061244290e+02 1.985000000000000098e+00
-3.221736115251985098e+02 1.974122121036353761e+00 -1.375000000000000666e-01 4.000000000000000000e+02 -3.160114252415816622e+02 -3.221416395282730036e+02 1.534999999999999920e+00
-3.214643505755442447e+02 4.566784193365448496e-01 -1.400000000000000688e-01 4.000000000000000000e+02 -3.148700168942608570e+02 -3.210027311809521962e+02 1.600000000000000089e+00
-3.205139903352085753e+02 7.817798154767863217e-01 -1.425000000000000711e-01 4.000000000000000000e+02 -3.128171512754818195e+02 -3.189523655621731564e+02 8.349999999999999645e-01
-3.187619147004027127e+02 1.478456063168073209e+00 -1.450000000000000733e-01 4.000000000000000000e+02 -3.120701474060882674e+02 -3.182078616927796020e+02 6.400000000000000133e-01
-3.177538501576668182e+02 1.613023447022362777e+00 -1.475000000000000755e-01 4.000000000000000000e+02 -3.096017563114182281e+02 -3.157419705981095603e+02 1.360000000000000098e+00
-3.156164512790346066e+02 2.403669221595685634e+00 -1.500000000000000777e-01 4.000000000000000000e+02 -3.076719163865171822e+02 -3.138146306732085122e+02 2.700000000000000178e-01
-3.136619111159029671e+02 1.732812278272815476e+00 -1.525000000000000799e-01 4.000000000000000000e+02 -3.071304319460509191e+02 -3.132756462327422469e+02 1.439999999999999947e+00
-3.127570962251355127e+02 1.481749090169547367e+00 -1.550000000000000822e-01 4.000000000000000000e+02 -3.068019097554532664e+02 -3.129496240421445918e+02 1.229999999999999982e+00
-3.121555867214452178e+02 1.354776972207615504e+00 -1.575000000000000844e-01 4.000000000000000000e+02 -3.064588353212604375e+02 -3.126090496079517607e+02 4.650000000000000244e-01
-3.116636846624022610e+02 9.267379340840450341e-01 -1.600000000000000866e-01 4.000000000000000000e+02 -3.046012524802946473e+02 -3.107539667669859682e+02 2.000000000000000000e+00
-3.104156121645696658e+02 1.255848462257574738e+00 -1.625000000000000888e-01 4.000000000000000000e+02 -2.993870715468145818e+02 -3.055422858335059004e+02 1.780000000000000027e+00
-3.055346670467703234e+02 3.043932216952506931e+00 -1.650000000000000910e-01 4.000000000000000000e+02 -2.986463789210521895e+02 -3.048040932077435059e+02 5.250000000000000222e-01
-3.044109486662488280e+02 2.212828887036865311e+00 -1.675000000000000933e-01 4.000000000000000000e+02 -2.967930258808797817e+02 -3.029532401675710958e+02 9.699999999999999734e-01
-3.027439772645332141e+02 1.047448467401482564e+00 -1.700000000000000955e-01 4.000000000000000000e+02 -2.953076415832031216e+02 -3.014703558698944335e+02 2.000000000000000042e-02
-3.012236391937202029e+02 9.464536828322679396e-01 -1.725000000000000977e-01 4.000000000000000000e+02 -2.934307719433312514e+02 -2.995959862300225609e+02 1.909999999999999920e+00
-2.994166775674233918e+02 1.509689088470071106e+00 -1.750000000000000999e-01 4.000000000000000000e+02 -2.932359691138389053e+02 -2.994036834005302126e+02 4.199999999999999845e-01
-2.987170121975186703e+02 1.258658695601169386e+00 -1.775000000000001021e-01 4.000000000000000000e+02 -2.919298562423080057e+02 -2.981000705289993107e+02 1.185000000000000053e+00
-2.976685529733786666e+02 9.708211195678252414e-01 -1.800000000000001044e-01 4.000000000000000000e+02 -2.904006991503651989e+02 -2.965734134370565016e+02 3.099999999999999978e-01
-2.962848620452381283e+02 8.612302608843933616e-01 -1.825000000000001066e-01 4.000000000000000000e+02 -2.902792353572570505e+02 -2.964544496439483510e+02 1.719999999999999973e+00
-2.956729179695813627e+02 1.083644440330256531e+00 -1.850000000000001088e-01 4.000000000000000000e+02 -2.877320283408163277e+02 -2.939097426275076259e+02 1.395000000000000018e+00
-2.937514581359873205e+02 1.740106362331434786e+00 -1.875000000000001110e-01 4.000000000000000000e+02 -2.866720952276007210e+02 -2.928523095142920170e+02 3.099999999999999978e-01
-2.925109094737506439e+02 1.996260430124782825e+00 -1.900000000000001132e-01 4.000000000000000000e+02 -2.858127990459848320e+02 -2.919955133326761256e+02 3.400000000000000244e-01
-2.915272212003518462e+02 1.741233494851746721e+00 -1.925000000000001155e-01 4.000000000000000000e+02 -2.820865802923983665e+02 -2.882717945790896579e+02 8.100000000000000533e-01
-2.882339552380768737e+02 2.953305076090132264e+00 -1.950000000000001177e-01 4.000000000000000000e+02 -2.770685377742662467e+02 -2.832562520609575358e+02 8.800000000000000044e-01
-2.832493858184380429e+02 3.666867774047841255e+00 -1.975000000000001199e-01 4.000000000000000000e+02 -2.769209369948745803e+02 -2.831111512815658671e+02 1.850000000000000089e+00
-2.824847346704254960e+02 2.546726982034426712e+00 -2.000000000000001221e-01 4.000000000000000000e+02 -2.765675334010501842e+02 -2.827602476877415256e+02 1.360000000000000098e+00
-2.819198854297760022e+02 1.690619270386782613e+00 -2.025000000000001243e-01 4.000000000000000000e+02 -2.763895375317883918e+02 -2.825847518184797309e+02 1.175000000000000044e+00
-2.815049042467733784e+02 1.347283223623621184e+00 -2.050000000000001266e-01 4.000000000000000000e+02 -2.696148133744182473e+02 -2.758125276611095842e+02 1.400000000000000133e-01
-2.758091617614967390e+02 3.132679598836852097e+00 -2.075000000000001288e-01 4.000000000000000000e+02 -2.696083864408900013e+02 -2.758086007275813358e+02 1.554999999999999938e+00
-2.751157340246342073e+02 1.121648298452219139e+00 -2.100000000000001310e-01 4.000000000000000000e+02 -2.687830220294503647e+02 -2.749857363161416970e+02 1.445000000000000062e+00
-2.743554770500749100e+02 1.314888953553941642e+00 -2.125000000000001332e-01 4.000000000000000000e+02 -2.685503383239252457e+02 -2.747555526106165757e+02 1.250000000000000000e+00
-2.738424921203668418e+02 1.415871976700393553e+00 -2.150000000000001354e-01 4.000000000000000000e+02 -2.656317932355427160e+02 -2.718395075222340438e+02 1.385000000000000009e+00
-2.717129348167314333e+02 1.947507097432850554e+00 -2.175000000000001377e-01 4.000000000000000000e+02 -2.655243883600458616e+02 -2.717346026467371871e+02 1.524999999999999911e+00
-2.710305628654652423e+02 1.485512599184428684e+00 -2.200000000000001399e-01 4.000000000000000000e+02 -2.646931741972766758e+02 -2.709058884839679990e+02 2.550000000000000044e-01
-2.702731367885469922e+02 1.644738778297415216e+00 -2.225000000000001421e-01 4.000000000000000000e+02 -2.623376563242131851e+02 -2.685528706109045061e+02 5.450000000000000400e-01
-2.683881883059698907e+02 1.566536116688269864e+00 -2.250000000000001443e-01 4.000000000000000000e+02 -2.617239257757289579e+02 -2.679416400624202765e+02 1.290000000000000036e+00
-2.674470457211229473e+02 2.018300041422127489e+00 -2.275000000000001465e-01 4.000000000000000000e+02 -2.615445868228711674e+02 -2.677648011095624838e+02 1.350000000000000089e+00
-2.669002079162894461e+02 1.958034958487740784e+00 -2.300000000000001488e-01 4.000000000000000000e+02 -2.606158184627386163e+02 -2.668385327494299304e+02 1.945000000000000062e+00
-2.661757477493646320e+02 1.819052602455808687e+00 -2.325000000000001510e-01 4.000000000000000000e+02 -2.583544582097406419e+02 -2.645796724964319537e+02 3.499999999999999778e-01
-2.643951113928224004e+02 2.304180504218805492e+00 -2.350000000000001532e-01 4.000000000000000000e+02 -2.581234819088460881e+02 -2.643511961955373977e+02 1.310000000000000053e+00
-2.636797655649196486e+02 9.345586382228114886e-01 -2.375000000000001554e-01 4.000000000000000000e+02 -2.576986823258321238e+02 -2.639288966125234310e+02 4.799999999999999822e-01
-2.631034456043335581e+02 1.157184095606032859e+00 -2.400000000000001577e-01 4.000000000000000000e+02 -2.574136803352326979e+02 -2.636463946219240029e+02 1.370000000000000107e+00
-2.626453676484441644e+02 9.037061003338952014e-01 -2.425000000000001599e-01 4.000000000000000000e+02 -2.556901489034358974e+02 -2.619253631901272001e+02 6.099999999999999867e-01
-2.615287706027664854e+02 1.141819871697831168e+00 -2.450000000000001621e-01 4.000000000000000000e+02 -2.541799651543836660e+02 -2.604176794410749949e+02 1.830000000000000071e+00
-2.601331025183025645e+02 1.291793392625263381e+00 -2.475000000000001643e-01 4.000000000000000000e+02 -2.524083942151640088e+02 -2.586486085018553354e+02 1.594999999999999973e+00
-2.584443485477488025e+02 1.930577256319889967e+00 -2.500000000000001665e-01 4.000000000000000000e+02 -2.493498470191041463e+02 -2.555925613057954706e+02 1.239999999999999991e+00
-2.555364257741479719e+02 2.209361765265124955e+00 -2.525000000000001688e-01 4.000000000000000000e+02 -2.472527245960611424e+02 -2.534979388827524645e+02 7.950000000000000400e-01
-2.533755216174207305e+02 1.912160670455931077e+00 -2.550000000000001710e-01 4.000000000000000000e+02 -2.442440354177008999e+02 -2.504917497043922197e+02 5.999999999999999778e-02
-2.504373340347931389e+02 2.549389047423589183e+00 -2.575000000000001732e-01 4.000000000000000000e+02 -2.407645124675261741e+02 -2.470147267542174916e+02 1.840000000000000080e+00
-2.469826204660468534e+02 2.738574526235615370e+00 -2.600000000000001754e-01 4.000000000000000000e+02 -2.383498575577647784e+02 -2.446025718444560937e+02 1.344999999999999973e+00
-2.445140610210069099e+02 1.638655619411288233e+00 -2.625000000000001776e-01 4.000000000000000000e+02 -2.346927268317564312e+02 -2.409479411184477442e+02 1.620000000000000107e+00
-2.409200678977913981e+02 1.929874585904880480e+00 -2.650000000000001799e-01 4.000000000000000000e+02 -2.345745435779905108e+02 -2.408322578646818215e+02 6.650000000000000355e-01
-2.401820521849312797e+02 1.598809897267326585e+00 -2.675000000000001821e-01 4.000000000000000000e+02 -2.323285429460787839e+02 -2.385887572327700923e+02 1.969999999999999973e+00
-2.384037270207264214e+02 1.067901633674098516e+00 -2.700000000000001843e-01 4.000000000000000000e+02 -2.317909463373260053e+02 -2.380536606240173114e+02 1.875000000000000000e+00
-2.375203059152963760e+02 7.524092123352967842e-01 -2.725000000000001865e-01 4.000000000000000000e+02 -2.301834751801939092e+02 -2.364486894668852131e+02 1.895000000000000018e+00
-2.361541898048042185e+02 1.241932193496907644e+00 -2.750000000000001887e-01 4.000000000000000000e+02 -2.292361172253381767e+02 -2.355038315120294783e+02 1.629999999999999893e+00
