apec1.kT apec1.Abundanc apec1.norm
3.670885241484594719e+00 2.585007675395664672e-01 1.037126362071767227e+00
3.706323191081124957e+00 1.770911704750894045e-01 1.857226002300990331e+00
4.005775769308433709e+00 2.475942898293963523e-01 1.522942751557311070e+00
3.880815856247426865e+00 2.520507994321030121e-01 3.989000802344064844e-01
4.066801407673476199e+00 3.198517045578787021e-01 1.119105185840799210e+00
4.194335084134066527e+00 1.770181527482924122e-01 1.491972745631797270e+00
4.176532422321987958e+00 2.489690899780662992e-01 1.045117873811263864e+00
3.563335776355793350e+00 2.031059639625249491e-01 1.067344424477940645e+00
3.836853083059890146e+00 2.488482133568818422e-01 1.426263875532843173e+00
4.204880542533477872e+00 2.290457485926773729e-01 1.437142515689000977e+00
4.194470311657297223e+00 2.340206554545231910e-01 1.611632703634843455e+00
3.539650893522450659e+00 2.198659340712380839e-01 8.108904464080967101e-01
4.080179055799498578e+00 2.603577498217883868e-01 1.080925135785120395e+00
4.262670043085549310e+00 2.210751076449253283e-01 1.264934786024606517e+00
4.105451053946593376e+00 1.897633756874730071e-01 4.805809504658633546e-01
4.067763706680012525e+00 2.658334282625674505e-01 9.698980519020629076e-01
4.106461540808032495e+00 2.326736724869075124e-01 9.735808995840433688e-01
3.901267657884025297e+00 2.404051705747099477e-01 1.171226414972102337e+00
4.094873046894225155e+00 1.780300366507850951e-01 1.070885390498912404e+00
4.029850863138038086e+00 3.042939787627997328e-01 1.281917648518577924e+00
4.026091909266859226e+00 3.269845117019372638e-01 9.908294142836210350e-01
4.301541780935765225e+00 1.919104906552117629e-01 5.294673268040958058e-01
3.789708505118388082e+00 1.959133388605048542e-01 1.163861503637995343e+00
4.109268759737248367e+00 2.073619171347628187e-01 6.849239395798890628e-01
4.156020431002923843e+00 2.706074097917777754e-01 1.599680450688316657e+00
3.920725281557307262e+00 2.465072913232524698e-01 9.480857466876123629e-01
4.003139081378067843e+00 2.625776122724501893e-01 8.289048893138274421e-01
4.117650555185687011e+00 2.617494952769497951e-01 4.907434763441753667e-01
4.204880542533477872e+00 2.290457485926773729e-01 1.437142515689000977e+00
4.122976557629914218e+00 1.855500266573186230e-01 7.445731069790185730e-01
4.010124109897631683e+00 2.388807545351919193e-01 1.477764089301201178e+00
4.281409723980821092e+00 2.816475645810737616e-01 1.172675764103443985e+00
4.126469070889012158e+00 1.973529957809348478e-01 8.325117337098333348e-01
4.274276794514033639e+00 1.620999897899521036e-01 1.030353607799359583e+00
4.127637467022186257e+00 2.181840980627359483e-01 1.161038038186701149e+00
4.320352326489278916e+00 2.916013468699262257e-01 7.173031436555434848e-01
4.241872427119414368e+00 2.322014675598753353e-01 1.460990408918572125e+00
4.145161531797967314e+00 1.728283168964030170e-01 1.573123413134189352e+00
3.819675333785836457e+00 2.898770056207334300e-01 1.333959321941279308e+00
3.878522055572498406e+00 2.087279314819649456e-01 9.243225935684152850e-01
4.090656731431287163e+00 1.748707361479241162e-01 7.968803154037802372e-01
3.856399966549938885e+00 2.249675871404059335e-01 9.161202128600686168e-01
4.260475949909831250e+00 1.984914174903239514e-01 9.415704919614498181e-01
4.050023553904130047e+00 2.375028924988289436e-01 1.926016293692496273e+00
4.117650555185687011e+00 2.617494952769497951e-01 4.907434763441753667e-01
4.295950005213413192e+00 1.487251742549512423e-01 1.061977828737293628e+00
4.277375207542204905e+00 1.416616268853010119e-01 5.658843588028338312e-01
3.845228604160225938e+00 2.985687318850960281e-01 1.381164016941514028e+00
3.756921211384674386e+00 1.435700333947032836e-01 1.420566286462073613e+00
3.909627889186706895e+00 2.822925267975487373e-01 9.012414360717274642e-01
3.850357791823289855e+00 2.132610046000454340e-01 1.145788188811069475e+00
4.028311400429622324e+00 2.059683824102662708e-01 1.297900323511010479e+00
3.821358328936852455e+00 1.740925527876756307e-01 1.348087566416118932e+00
4.144679730207102786e+00 2.644869635303742639e-01 8.986320831789509356e-01
3.818449961147437843e+00 1.381493385591896217e-01 9.762516919628789758e-01
4.006583183998368547e+00 2.220509129912655588e-01 1.116388206642651593e+00
4.356700169428858516e+00 2.962276836517636625e-01 1.030959886359691380e+00
4.168232438855960176e+00 3.080433117709699964e-01 1.226869536549836992e+00
3.735100151167470184e+00 2.187157932923116110e-01 9.441052628203329133e-01
4.113706078303099645e+00 2.286359910117342631e-01 1.121079461032182811e+00
3.935838847021758902e+00 3.043992867160620897e-01 1.540763050677257162e+00
3.998398076979160276e+00 2.332106356083805954e-01 6.709206657624792181e-01
4.188544241909635701e+00 2.009348384299841916e-01 7.617114919230307812e-01
4.081780350029870164e+00 1.865932706225795212e-01 9.120755300285013911e-01
3.897596982840603630e+00 2.844234856384321719e-01 1.845610575148355359e+00
4.285073537397784627e+00 2.755024546942156927e-01 1.033884916818941457e+00
4.160548427195443821e+00 2.388190807705332097e-01 1.387223052360822440e+00
4.000939312066440046e+00 2.941108410391893302e-01 1.831648055643888773e+00
4.274933844663632243e+00 2.181541790868804231e-01 1.189593665055174165e+00
4.169826236470014713e+00 2.490074695763966339e-01 1.176580261406072525e+00
3.914082341120190378e+00 3.192095970375651293e-01 1.090364815459180736e+00
3.941857693826082976e+00 1.503279867959814720e-01 1.051049981896131413e+00
3.914093716737158335e+00 1.863636724332445871e-01 6.890738583177035137e-01
3.816595805039447065e+00 2.650037816238219324e-01 1.715908686513002213e+00
4.445372023776752002e+00 2.491395999156390817e-01 9.841590629744843000e-01
4.223058366642661099e+00 2.657856099523529525e-01 1.244283347107419502e+00
4.168232438855960176e+00 3.080433117709699964e-01 1.226869536549836992e+00
4.234366974859266719e+00 2.150249524478196061e-01 1.060278761253386826e+00
3.852406123627450718e+00 3.001993684498329151e-01 1.130935148492955289e+00
4.018433892841154709e+00 2.312802970325361640e-01 1.067874517897381859e+00
4.138201381719351701e+00 2.619617804702487063e-01 8.770400916098605171e-01
4.164665097331481824e+00 1.906092742406866047e-01 6.911351055642898089e-01
4.092568039582869410e+00 2.223322060217994833e-01 9.840606624582654005e-01
4.083216904497049882e+00 3.088739928917546007e-01 1.400872208213347569e+00
4.173677100776303384e+00 2.247252535978885302e-01 8.734570263052955363e-01
3.883880827572603778e+00 2.525792997142518592e-01 6.217951053567192243e-01
4.276406991229403154e+00 2.511528394136268716e-01 6.327968768327117965e-01
4.108307110039447707e+00 2.485172809424404383e-01 9.084309196503875805e-01
4.299575635001588125e+00 2.907637971641826025e-01 6.695602904639350594e-01
3.888974323574551750e+00 3.061819518408049334e-01 9.742199522219371355e-01
3.923512091643220234e+00 2.824484730112908903e-01 1.476805721163418239e+00
4.310266138115696144e+00 2.613980630579251785e-01 8.430627861993302830e-01
3.897895096401730264e+00 1.974495436959132488e-01 1.096430590907427005e+00
4.200274040163560763e+00 1.606336116055644414e-01 7.003657285680550126e-01
3.844065932340818836e+00 2.253929958544785006e-01 8.402159386254922646e-01
4.219677507461528698e+00 2.763480309173981242e-01 1.862898325092319229e-01
3.859724459489864312e+00 2.354083369278572035e-01 1.192858724577006146e+00
