weight logl apec1.kT apec1.Abundanc apec1.norm
2.136580326346140733e-166 -3.872774455715963313e+02 1.378293168066011543e-01 1.664843377538886005e-01 9.831291066295434478e-01
2.752647566336190301e-166 -3.870215889442324055e+02 2.873835787520984120e-02 2.157480084404449494e-01 9.854350634837856227e-01
3.060257670845601354e-165 -3.846105679325860933e+02 6.298359814528347034e-01 5.355336126359666604e-01 9.567720191699968790e-01
6.670639073546704175e-165 -3.838288513827007478e+02 3.987138909470373527e-01 2.610889868044127260e-01 9.690561140741280610e-01
3.272032432502408596e-164 -3.822360706273445317e+02 5.255337339603646241e-01 3.701851608279708161e-01 9.610737250886690619e-01
3.876190859913409638e-163 -3.797615439308959253e+02 9.528830172390945208e-01 1.556577826202815151e-01 9.575807956083346451e-01
7.213755570223393513e-163 -3.791379071659656006e+02 4.118278556114977063e-01 3.324229244768941438e-01 9.605583575888601011e-01
2.006191312999293832e-159 -3.712048184378189148e+02 9.379672455251508723e-01 6.181141693414414773e-01 9.324060256755603016e-01
1.331592706363955853e-157 -3.670070105578554376e+02 8.281971199154188890e-01 3.849903855204654946e-01 9.373783124685077794e-01
1.529184617415800107e-156 -3.645635665506643477e+02 1.310926650294204077e-01 4.342142696087604170e-01 9.449765965461262018e-01
1.592316432951559481e-156 -3.645206113821295730e+02 8.856738967819679509e-01 8.170320569426958723e-01 9.188305283947684199e-01
7.146459133281779742e-156 -3.630166842062910177e+02 5.307333268578421359e-01 2.372957565504929534e-01 9.432616419215729131e-01
1.994127999174171365e-155 -3.619880092595805081e+02 6.567470782950759478e-01 5.151342315176064002e-01 9.305191917469778362e-01
4.644047721266822391e-155 -3.611401297815434077e+02 5.712549614155918443e-01 6.183936853504223841e-01 9.274628502398857277e-01
5.071571346054548427e-152 -3.541418101424683869e+02 2.110708214300730523e-01 3.574658889832884601e-01 9.332515603718262165e-01
1.067563500481005817e-151 -3.533949967996676946e+02 9.332693325901278980e-01 7.455999677509939083e-02 9.317901350906503399e-01
7.838696242630943590e-151 -3.513988032242963868e+02 4.594933933924211233e-01 7.025415134793726590e-01 9.144171441097127540e-01
9.807042257111187609e-150 -3.488696899309799733e+02 5.554330921241363850e-01 5.002619575158370191e-01 9.166989870704105314e-01
5.968552542807761741e-149 -3.470612011203927523e+02 4.615015627325401715e-01 6.269423542933777460e-01 9.117533396094475995e-01
6.179247492850044870e-148 -3.447214239711204868e+02 1.242912170445050757e-01 8.323320092481256705e-02 9.377588557272245051e-01
3.545773714448545965e-146 -3.406691938929735670e+02 8.604503480575016461e-01 7.279659063635871563e-01 8.944839966925322017e-01
3.982583918880080862e-146 -3.405505194497873731e+02 9.251347443656435798e-01 6.184033272305536899e-01 8.961685947526470963e-01
8.513687399569032018e-146 -3.397882751335929470e+02 3.033422082118153451e-01 9.884413459198725382e-01 8.808710967905168943e-01
3.642823531945815754e-144 -3.360295210217471435e+02 2.567418306980884246e-02 6.064638738791614525e-01 9.085827033027017441e-01
3.959927707390231659e-144 -3.359435543288987560e+02 3.839642848386385365e-01 9.764443026532561021e-01 8.788605054117516469e-01
2.992747274505767171e-143 -3.339185032188449327e+02 2.637949650434241455e-01 2.012352634942797813e-01 9.134082662432344568e-01
1.207341596751696278e-142 -3.325211889971758410e+02 2.837793340589882529e-01 9.023556543399339214e-01 8.842429443203230210e-01
1.492010727801640829e-141 -3.300044001273355434e+02 1.123912549471276501e-01 7.424430905884152887e-01 8.922717879346151459e-01
2.730115433592392933e-141 -3.293976809276367135e+02 5.236051713506104655e-01 6.383613106811516502e-01 8.888464053116656993e-01
2.761509599190052168e-141 -3.293837473328755436e+02 6.132699246733736009e-01 1.057498935490646108e-01 9.071035460616536650e-01
4.663480151436854468e-141 -3.288572628362827572e+02 2.912275085216878834e-01 5.077986918722122711e-01 8.955272360075439142e-01
