14:47:27 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:48:23 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:12:33 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:18:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:12 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:55 [ultranest] [DEBUG] ReactiveNestedSampler: dims=2+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:55 [ultranest] [INFO] Sampling 400 live points from prior ...
15:20:58 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
15:20:58 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
15:20:58 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
15:21:00 [ultranest] [DEBUG] iteration=278, ncalls=725, logz=-66492020939340776304803840.00, remainder_fraction=100.0000%, Lmin=-66224373906601156485840896.00, Lmax=-203319228847737838501888.00
15:21:00 [ultranest] [DEBUG] iteration=280, ncalls=730, logz=-66184298316644581101273088.00, remainder_fraction=100.0000%, Lmin=-66082853902944144862478336.00, Lmax=-203319228847737838501888.00
15:21:00 [ultranest] [DEBUG] iteration=294, ncalls=746, logz=-63920709603692102211862528.00, remainder_fraction=100.0000%, Lmin=-63858686546774765919535104.00, Lmax=-203319228847737838501888.00
15:21:00 [ultranest] [DEBUG] iteration=307, ncalls=762, logz=-62179385307161525141635072.00, remainder_fraction=100.0000%, Lmin=-62112392749578296712232960.00, Lmax=-203319228847737838501888.00
15:21:00 [ultranest] [DEBUG] iteration=319, ncalls=777, logz=-60180170913973947909275648.00, remainder_fraction=100.0000%, Lmin=-60081679683089405038297088.00, Lmax=-203319228847737838501888.00
15:21:00 [ultranest] [DEBUG] iteration=320, ncalls=778, logz=-60081679683089405038297088.00, remainder_fraction=100.0000%, Lmin=-59927203530931620825530368.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=334, ncalls=795, logz=-58918278155514544220274688.00, remainder_fraction=100.0000%, Lmin=-58889762568708264069955584.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=346, ncalls=809, logz=-58258030331251506815172608.00, remainder_fraction=100.0000%, Lmin=-58059024016406687120359424.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=356, ncalls=824, logz=-56727479384661623367008256.00, remainder_fraction=100.0000%, Lmin=-56606525230790795667177472.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=360, ncalls=829, logz=-55296858755608236179587072.00, remainder_fraction=100.0000%, Lmin=-55004771564373820112371712.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=373, ncalls=844, logz=-53167773554083427224911872.00, remainder_fraction=100.0000%, Lmin=-53036601897572154189283328.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=386, ncalls=859, logz=-50997094542419954216468480.00, remainder_fraction=100.0000%, Lmin=-50955482456916899873685504.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=399, ncalls=874, logz=-49470534400852494443872256.00, remainder_fraction=100.0000%, Lmin=-49432431893625067649630208.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=400, ncalls=875, logz=-49432431893625067649630208.00, remainder_fraction=100.0000%, Lmin=-49390891690247301250416640.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=413, ncalls=890, logz=-47627829499384867479093248.00, remainder_fraction=100.0000%, Lmin=-47205336479299471564341248.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=427, ncalls=906, logz=-45539815737347663397388288.00, remainder_fraction=100.0000%, Lmin=-45433833873672263599915008.00, Lmax=-203319228847737838501888.00
15:21:01 [ultranest] [DEBUG] iteration=440, ncalls=920, logz=-44141843586567688664645632.00, remainder_fraction=100.0000%, Lmin=-44096157911224776329789440.00, Lmax=-203319228847737838501888.00
15:21:02 [ultranest] [DEBUG] iteration=450, ncalls=933, logz=-43347761195993808567795712.00, remainder_fraction=100.0000%, Lmin=-43338039787921807209660416.00, Lmax=-203319228847737838501888.00
15:21:02 [ultranest] [DEBUG] iteration=463, ncalls=948, logz=-42107164746230159288303616.00, remainder_fraction=100.0000%, Lmin=-42091089620125169047568384.00, Lmax=-203319228847737838501888.00
15:21:02 [ultranest] [DEBUG] iteration=474, ncalls=964, logz=-40943142572455518923653120.00, remainder_fraction=100.0000%, Lmin=-40558717173916582159581184.00, Lmax=-43845968134109774479360.00
15:21:02 [ultranest] [DEBUG] iteration=480, ncalls=970, logz=-40440794839604486620577792.00, remainder_fraction=100.0000%, Lmin=-40423567642601316985864192.00, Lmax=-43845968134109774479360.00
15:21:02 [ultranest] [DEBUG] iteration=493, ncalls=986, logz=-38870952710868107578572800.00, remainder_fraction=100.0000%, Lmin=-38789035937939403730583552.00, Lmax=-43845968134109774479360.00
15:21:02 [ultranest] [DEBUG] iteration=509, ncalls=1003, logz=-37260923267508765718478848.00, remainder_fraction=100.0000%, Lmin=-37180800620381895762378752.00, Lmax=-43845968134109774479360.00
15:21:02 [ultranest] [DEBUG] iteration=520, ncalls=1015, logz=-36671526065789557004042240.00, remainder_fraction=100.0000%, Lmin=-36570098344990982849691648.00, Lmax=-43845968134109774479360.00
15:21:02 [ultranest] [DEBUG] iteration=534, ncalls=1030, logz=-35122054557333448673984512.00, remainder_fraction=100.0000%, Lmin=-35048633612719735288365056.00, Lmax=-43845968134109774479360.00
15:21:02 [ultranest] [DEBUG] iteration=540, ncalls=1036, logz=-34860237050523846795329536.00, remainder_fraction=100.0000%, Lmin=-34715133022204374762389504.00, Lmax=-43845968134109774479360.00
15:21:02 [ultranest] [DEBUG] iteration=554, ncalls=1052, logz=-33470141710636854875783168.00, remainder_fraction=100.0000%, Lmin=-33289272206125281954496512.00, Lmax=-43845968134109774479360.00
15:21:02 [ultranest] [DEBUG] iteration=560, ncalls=1060, logz=-33032659297118478187626496.00, remainder_fraction=100.0000%, Lmin=-32996640855058119170981888.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=576, ncalls=1076, logz=-31934289458803186839060480.00, remainder_fraction=100.0000%, Lmin=-31812692410992708630347776.00, Lmax=-43845968134109774479360.00
15:21:03 [ultranest] [DEBUG] iteration=587, ncalls=1091, logz=-31338096931014321809391616.00, remainder_fraction=100.0000%, Lmin=-31307241557927744847740928.00, Lmax=-43845968134109774479360.00
